name,mean,var,elo,win,draw,loss,rank,rank_prob,wr,model_type,train_steps,policy_shape,param_count
child_654m,46.514945168969824,3.9694014084001927,3243.67555120695,265,444,56,1,0.0589836716800244,0.6366013071895424,child,654915498,"[2048, 2048, 1024, 1024]",7549973
curriculum_405m,44.747335009462795,3.467674797289327,3480.8264975966995,268,403,84,2,0.057890295236934654,0.6218543046357616,curriculum,405360906,"[1024, 1024, 1024, 512, 512, 512]",3252245
gentle_105m,43.448186458562745,3.697782223588671,3249.9591826365913,192,367,72,3,0.05689648989963305,0.5950871632329635,gentle,105951590,"[1024, 1024, 1024, 512, 512, 512]",3252245
grounded_100m,43.40816474804318,3.708097040135001,3241.2636874499276,230,408,110,4,0.056864244102921,0.5802139037433155,grounded,100045716,"[1024, 1024, 1024, 512, 512, 512]",3252245
grounded_60m,43.383039334627,3.7775473384632208,3196.889248370137,268,388,97,5,0.056834001611396005,0.6135458167330677,grounded,60027320,"[1024, 1024, 1024, 512, 512, 512]",3252245
bulldog_470m,36.75049277392169,3.6428323382393666,2917.687851738119,198,325,77,6,0.050852640067113174,0.6008333333333333,bulldog,470632948,"[1024, 1024, 512, 512]",1939989
curriculum_306m,34.58269498283778,3.4870736843551002,2883.4794508641708,144,533,83,7,0.048477477761834885,0.5401315789473684,curriculum,306046938,"[1024, 1024, 1024, 512, 512, 512]",3252245
gentle_63m,32.76750727899776,3.5683031319502003,2736.5876478150667,100,391,69,8,0.04622030018029672,0.5276785714285714,gentle,63331002,"[1024, 1024, 1024, 512, 512, 512]",3252245
gentle_260m,30.65354726590615,3.8277536856127683,2501.646802986434,91,343,51,9,0.04323327217657826,0.5412371134020618,gentle,260993302,"[1024, 1024, 1024, 512, 512, 512]",3252245
curriculum_204m,28.841333935385542,3.451709659964297,2571.1332514382952,37,594,69,10,0.040564276043166814,0.47714285714285715,curriculum,204032096,"[1024, 1024, 1024, 512, 512, 512]",3252245
grounded_30m,27.362193654948065,3.779129431508963,2348.0686174340767,43,305,77,11,0.03800036986528529,0.46,grounded,30014142,"[1024, 1024, 1024, 512, 512, 512]",3252245
gentle_bigcrit_66m,27.12100354935375,3.3972275920948922,2496.6550850147573,31,331,68,12,0.03768833467745217,0.4569767441860465,gentle,66306950,"[512, 512, 512]",582165
curriculum_102m,24.85740172526585,3.3778863271019572,2371.7725416528237,36,499,90,13,0.03353767373970819,0.4568,curriculum,102016886,"[1024, 1024, 1024, 512, 512, 512]",3252245
curriculum_tiny_100m,24.369687267525258,3.465771661732778,2306.3065686988257,23,485,57,14,0.03258004177472664,0.46991150442477875,curriculum,100018766,"[512, 512, 512]",582165
curriculum_wide_114m,23.372440343674064,3.2453371570314915,2340.3705509015786,70,578,62,15,0.030652584465657762,0.5056338028169014,curriculum,114631314,"[2048, 2048, 1024, 1024]",7549973
gentle_tiny_100m,22.48228988078659,3.5666155497988585,2160.7072204378455,69,411,100,16,0.0288232436479326,0.4732758620689655,gentle,100024562,"[512, 512, 512]",582165
curriculum_slow_100m,22.4649183014441,3.7824828494926206,2087.8397970506344,37,337,66,17,0.028765388305850847,0.46704545454545454,curriculum,100021834,"[1024, 1024, 1024, 512, 512, 512]",3252245
curriculum_30m,20.216828383460307,3.9868824216978784,1914.1672738294922,21,340,89,18,0.024223219741630796,0.42444444444444446,curriculum,30605654,"[1024, 1024, 1024, 512, 512, 512]",3252245
curriculum_wide_60m,19.911901547462584,3.7286853110306986,1968.0387260655395,45,375,65,19,0.023595615944282496,0.4793814432989691,curriculum,60016402,"[2048, 2048, 1024, 1024]",7549973
deeper_gentle_128m,19.79636750057657,3.803167780426785,1941.0462353230732,23,425,67,20,0.023365791014218196,0.45728155339805826,deeper,128174314,"[1024, 1024, 1024, 1024, 512, 512, 512, 512]",4564501
curriculum_61m,19.572977377564076,4.0296592733976215,1871.445774920868,29,323,93,21,0.022932025343278515,0.4280898876404494,curriculum,61210512,"[1024, 1024, 1024, 512, 512, 512]",3252245
gentle_bigcrit_104m,18.425222312214256,3.63916673595957,1912.6066569113063,51,382,67,22,0.020591826344584428,0.484,gentle,104710246,"[512, 512, 512]",582165
sparse_60m,18.35495691236676,3.645012926408917,1907.1271231649732,15,292,58,23,0.020452665867512942,0.4410958904109589,sparse,60009018,"[1024, 1024, 512, 512]",1939989
gentle_tiny_30m,18.16387910127424,3.661833953546925,1892.0645955931643,27,434,84,24,0.020075694141287743,0.44770642201834865,gentle,30011438,"[512, 512, 512]",582165
curriculum_tiny_60m,17.286812521810145,3.6865570312715947,1837.8296538028842,11,399,65,25,0.018361683202636755,0.4431578947368421,curriculum,60010996,"[512, 512, 512]",582165
