time,Model1,Model2,Orange,Tie,Blue
1741851582.5507138,curriculum_wide_30m,default_deep_136m,0.0,5.0,0.0
1741851582.565853,curriculum_wide_30m,curriculum_wide_114m,0.0,1.0,4.0
1741851583.2141016,curriculum_wide_30m,default_deep_136m,0.0,4.0,1.0
1741851583.2178862,curriculum_wide_30m,curriculum_wide_114m,0.0,2.0,3.0
1741852390.2623885,gentle_bigcrit_66m,sparse_60m,1.0,3.0,1.0
1741852390.266693,gentle_63m,curriculum_tiny_30m,2.0,3.0,0.0
1741852390.268284,grounded_60m,curriculum_61m,4.0,1.0,0.0
1741852390.2698114,gentle_bigcrit_38m,bulldog_470m,0.0,0.0,5.0
1741852390.271277,gentle_tiny_100m,bulldog_470m,2.0,0.0,3.0
1741852475.880397,gentle_bigcrit_66m,sparse_60m,0.0,5.0,0.0
1741852475.891952,gentle_63m,curriculum_tiny_30m,3.0,1.0,1.0
1741852475.8975177,grounded_60m,curriculum_61m,4.0,0.0,1.0
1741852475.9020953,gentle_bigcrit_38m,bulldog_470m,3.0,0.0,2.0
1741852475.9057438,gentle_tiny_100m,bulldog_470m,1.0,0.0,4.0
1741852513.2553802,gentle_bigcrit_66m,sparse_60m,1.0,4.0,0.0
1741852513.2602575,gentle_63m,curriculum_tiny_30m,2.0,3.0,0.0
1741852513.2619653,grounded_60m,curriculum_61m,3.0,2.0,0.0
1741852513.263523,gentle_bigcrit_38m,bulldog_470m,0.0,0.0,5.0
1741852513.26913,gentle_tiny_100m,bulldog_470m,1.0,0.0,4.0
1741852532.5854745,gentle_bigcrit_66m,sparse_60m,1.0,4.0,0.0
1741852532.6011577,gentle_63m,curriculum_tiny_30m,1.0,4.0,0.0
1741852532.6029737,grounded_60m,curriculum_61m,4.0,1.0,0.0
1741852532.6083791,gentle_bigcrit_38m,bulldog_470m,0.0,2.0,3.0
1741852532.6134498,gentle_tiny_100m,bulldog_470m,1.0,0.0,4.0
1741852537.494918,gentle_bigcrit_66m,sparse_60m,0.0,5.0,0.0
1741852537.4992175,gentle_63m,curriculum_tiny_30m,3.0,2.0,0.0
1741852537.5007334,grounded_60m,curriculum_61m,4.0,1.0,0.0
1741852537.5021186,gentle_bigcrit_38m,bulldog_470m,0.0,0.0,5.0
1741852537.5034416,gentle_tiny_100m,bulldog_470m,0.0,2.0,3.0
1741852645.197844,gentle_bigcrit_66m,sparse_60m,0.0,5.0,0.0
1741852645.2118342,gentle_63m,curriculum_tiny_30m,0.0,4.0,1.0
1741852645.2176726,grounded_60m,curriculum_61m,4.0,1.0,0.0
1741852645.2225797,gentle_bigcrit_38m,bulldog_470m,0.0,0.0,5.0
1741852645.2277632,gentle_tiny_100m,bulldog_470m,0.0,0.0,5.0
1741852676.8185928,gentle_bigcrit_66m,sparse_60m,1.0,4.0,0.0
1741852676.8231626,gentle_63m,curriculum_tiny_30m,3.0,1.0,1.0
1741852676.8249388,grounded_60m,curriculum_61m,4.0,1.0,0.0
1741852676.8266215,gentle_bigcrit_38m,bulldog_470m,1.0,1.0,3.0
1741852676.8280249,gentle_tiny_100m,bulldog_470m,0.0,4.0,1.0
1741852682.788108,gentle_bigcrit_66m,sparse_60m,0.0,5.0,0.0
1741852682.793321,gentle_63m,curriculum_tiny_30m,2.0,3.0,0.0
1741852682.7952454,grounded_60m,curriculum_61m,5.0,0.0,0.0
1741852682.7968547,gentle_bigcrit_38m,bulldog_470m,0.0,1.0,4.0
1741852682.8024063,gentle_tiny_100m,bulldog_470m,1.0,1.0,3.0
